Sample ID,Year ,Seed.Lot,Seed.Lot.Year,Variety,Seed Grower,Town,State,Latitude,Longitude
Soil_SL_65_2018,2018,65,SL-65-2018,Burbank,Grower 1,Dillion,MT,45.216523,-112.63885
Soil_SL_59_2018,2018,59,SL-59-2018,Shepody,Grower 10,Boardman ,OR,45.840243,-119.701181
Tare_Soil_SL50_its_2019,2019,128,SL-50-2019,Shepody,Grower 10,Boardman,OR,45.840243,-119.701181
Tare_Soil_SL21_its_2019,2019,99,SL-21-2019,Clearwater,Grower 11,Lynden,WA,48.943834,-122.456706
Soil_SL_16_2018,2018,16,SL-16-2018,Umatilla,Grower 11,Lynden,WA,48.943834,-122.456706
Soil_SL_22_2018,2018,22,SL-22-2018,Ivory Russet,Grower 12,Bently,AB Canada,52.465073,-114.050589
Tare_Soil_SL33_its_2019,2019,111,SL-33-2019,Lamoka,Grower 12,Bently,AB Canada,52.465073,-114.050589
Soil_SL_4_2018,2018,4,SL-4-2018,Norkotah,Grower 12,Bently,AB Canada,52.465073,-114.050589
Tare_Soil_SL40_its_2019,2019,118,SL-40-2019,Snowden,Grower 12,Bently,AB Canada,52.465073,-114.050589
Soil_SL_60_2018,2018,60,SL-60-2018,Burbank,Grower 13,Ririe,ID,,
Tare_Soil_SL58_its_2019,2019,136,SL-58-2019,Burbank,Grower 13,Ririe,ID,,
Soil_SL_6_2018,2018,6,SL-6-2018,Ranger,Grower 14,Tosten,MT,46.172137,-111.440888
Tare_Soil_SL37_its_2019,2019,115,SL-37-2019,Alturas,Grower 15,Grace,ID,42.576167,-111.730357
Tare_Soil_SL8_its_2019,2019,86,SL-8-2019,Shepody,Grower 15,Grace,ID,42.576167,-111.730357
Soil_SL_32_2018,2018,32,SL-32-2018,Alturas,Grower 16,La Grande,OR,45.324737,-118.087975
Tare_Soil_SL12_its_2019,2019,90,SL-12-2019,Alturas,Grower 16,La Grande,OR,45.324737,-118.087975
Soil_SL_24_2018,2018,24,SL-24-2018,Atlantic,Grower 16,La Grande,OR,45.324737,-118.087975
Tare_Soil_SL35_its_2019,2019,113,SL-35-2019,Atlantic,Grower 16,La Grande,OR,45.324737,-118.087975
Soil_SL_29_2018,2018,29,SL-29-2018,Clearwater,Grower 16,La Grande,OR,45.324737,-118.087975
Soil_SL_31_2018,2018,31,SL-31-2018,Clearwater,Grower 16,La Grande,OR,45.324737,-118.087975
